A=2644 B=3384 C=9340 X=289930785 Y=4004373832 Z=14985154049 M=6728
A=8969 B=9143 C=7567 X=844137155 Y=4157449394 Z=84225475126 M=9245
A=6684 B=6509 C=8257 X=622911909 Y=1589706340 Z=61036608695 M=6292
A=4108 B=4264 C=5341 X=973404768 Y=8124729220 Z=96066952940 M=6411
A=9086 B=3070 C=6929 X=312835603 Y=3236614191 Z=98522558046 M=9332
A=7518 B=5369 C=7064 X=483071673 Y=3084243697 Z=86764886087 M=1815
A=5145 B=7277 C=6833 X=760464975 Y=4576571958 Z=18930427011 M=7632
A=2582 B=4355 C=6816 X=571716695 Y=6174705600 Z=64745092926 M=2910
A=5440 B=8998 C=8225 X=381730372 Y=1879102655 Z=99466068397 M=2750
A=8632 B=9560 C=7472 X=830034875 Y=1698420724 Z=46613164961 M=4961
A=8663 B=9906 C=7472 X=909689022 Y=3977224522 Z=33824476716 M=8986
A=4222 B=6498 C=7138 X=753072009 Y=6813153414 Z=63272107644 M=9051
A=9540 B=8802 C=8403 X=912562709 Y=4658507733 Z=66861646770 M=8424
A=6685 B=7509 C=5609 X=660402600 Y=1687619916 Z=56076635562 M=8509
A=2013 B=6346 C=8848 X=769248118 Y=3976831922 Z=16878531434 M=7284
A=6728 B=4911 C=5572 X=352335187 Y=3121405573 Z=69369166142 M=3120
A=3316 B=5205 C=7876 X=666892781 Y=8357576467 Z=31711420256 M=6856
A=6103 B=5347 C=6525 X=301282756 Y=1981959222 Z=77587559394 M=4650
A=7228 B=6392 C=6705 X=913105534 Y=3031713410 Z=42922891144 M=9665
A=4020 B=6500 C=9056 X=345870973 Y=5553577166 Z=12563268502 M=1728
A=6244 B=5752 C=5534 X=602279343 Y=4681923586 Z=47110513473 M=5520
A=6558 B=3319 C=6994 X=633280681 Y=5337286550 Z=56540962529 M=3792
A=7171 B=9588 C=7624 X=500794523 Y=7424518167 Z=93950640502 M=8782
A=4923 B=7468 C=6104 X=623573171 Y=4989507722 Z=49163583823 M=1070
A=7284 B=6479 C=8154 X=701324313 Y=8325512508 Z=75226565453 M=7879
A=8110 B=8357 C=9245 X=964722027 Y=6202238373 Z=69430704317 M=9047
A=5282 B=4622 C=7121 X=445574226 Y=1491915062 Z=66658827566 M=5404
A=5370 B=8273 C=6007 X=809828547 Y=2433879469 Z=69842624991 M=3756
A=7169 B=3573 C=5671 X=468376107 Y=2884229090 Z=47222771499 M=7206
A=9949 B=5332 C=9229 X=345323693 Y=6462870149 Z=60646834576 M=5059
A=9633 B=8385 C=7693 X=271913564 Y=2250258096 Z=36905996868 M=3462
A=7977 B=3689 C=9531 X=559922730 Y=1510100436 Z=78006679293 M=5743
A=5698 B=3943 C=8253 X=315513762 Y=9447598084 Z=77045285668 M=8953
A=2184 B=5039 C=6531 X=471029545 Y=1833302312 Z=51144187244 M=5161
A=4059 B=8719 C=6780 X=842427955 Y=8668602216 Z=20063751557 M=6169
A=7162 B=6427 C=7171 X=379140691 Y=3980777264 Z=36816573652 M=5161
A=2388 B=3408 C=8254 X=690006412 Y=6892550376 Z=68286272874 M=4684
A=9050 B=6177 C=7740 X=985665747 Y=9958571891 Z=45375565261 M=8754
A=7017 B=9500 C=5497 X=805487753 Y=2432458397 Z=98740164838 M=4253
A=4101 B=7639 C=7907 X=861988302 Y=6854076262 Z=38750020108 M=8703
A=3023 B=5810 C=6533 X=920932906 Y=1395688275 Z=42468369146 M=2866
A=6133 B=8022 C=9984 X=787269748 Y=7092198326 Z=42106529060 M=6289
A=5509 B=9768 C=5175 X=748072209 Y=5077637915 Z=99229047339 M=2184
A=6913 B=9280 C=7567 X=153924171 Y=7783300504 Z=46941867013 M=4967
A=4966 B=5905 C=6819 X=389516972 Y=2486577299 Z=12977458701 M=2721
A=7256 B=9771 C=5379 X=125576642 Y=2915767370 Z=32662666760 M=7313
A=3110 B=4801 C=8897 X=725299423 Y=9324747325 Z=66010831415 M=4598
A=9653 B=9730 C=9302 X=802431678 Y=2406780650 Z=43143482310 M=4731
A=9284 B=7083 C=6255 X=446705678 Y=9419385884 Z=37585154049 M=7014
A=7906 B=9431 C=9521 X=801143607 Y=4516897489 Z=73564187890 M=3681
A=5224 B=6394 C=8999 X=416107872 Y=2996050102 Z=36109596416 M=4869
